user_id,cls_id,vod_cnt,pdf_cnt,status
45932,undefined,0,0,Success
46758,2025-20-958779-0-00,0,0,Success
36014,2025-20-G00103-1-19,0,0,Success
hcedup,2025-10-e1ead2-0-00,0,0,Success
hcedup,2025-20-e9d053-0-00,0,0,Success
prof1,2025-20-509213-00-0,0,0,Success
45952,2025-20-2f45fc-0-00,0,0,Success
45932,2025-20-7ae8d2-0-00,0,0,Success
prof6,2025-20-de18a0-0-00,0,0,Success
43819,2025-20-G00101-1-13,0,0,Success
36014,2025-20-G00102-1-41,0,0,Success
35033,2025-20-G00103-1-16,0,0,Success
21735,2025-20-G00102-1-34,0,0,Success
22492,2025-20-G00102-1-38,0,0,Success
45753,2025-20-b25f44-0-00,0,0,Success
thuaspr,2025-20-7a3acc-0-00,0,0,Success
21738,2025-20-003039-2-05,0,0,Success
20999,2025-20-003039-2-07,0,0,Success
20999,2025-20-003039-2-08,27,0,Success
44669,2025-20-903173-1-01,0,0,Success
36386,2025-20-006175-2-03,0,0,Success
45737,2025-20-107518-1-01,0,0,Success
20563,2025-20-208106-1-01,0,0,Success
89694,2025-20-002033-1-01,0,0,Success
44667,2025-20-903190-1-01,0,0,Success
22257,2025-20-005097-2-01,0,0,Success
43817,2025-20-640011-1-01,0,0,Success
36379,2025-20-101409-1-01,0,0,Success
36379,2025-20-101406-1-01,0,0,Success
43819,2025-20-513003-1-01,0,0,Success
22502,2025-20-509307-2-01,0,0,Success
20367,2025-20-209521-3-01,0,0,Success
45379,2025-20-701007-2-02,0,0,Success
20999,2025-20-506820-1-05,0,0,Success
20999,2025-20-506820-1-06,0,0,Success
20994,2025-20-600005-2-01,0,0,Success
20994,2025-20-600005-2-02,0,0,Success
22492,2025-20-601101-1-01,0,0,Success
23591,2025-20-603108-2-01,0,0,Success
20369,2025-20-009092-1-01,0,0,Success
46180,2025-20-603111-2-02,0,0,Success
46180,2025-20-603112-1-01,0,0,Success
23591,2025-20-603138-2-01,0,0,Success
21735,2025-20-506489-3-01,0,0,Success
22492,2025-20-506812-1-01,0,0,Success
22492,2025-20-601104-1-01,0,0,Success
20999,2025-20-603137-1-01,0,0,Success
36386,2025-20-205201-2-01,0,0,Success
43818,2025-20-205201-2-03,0,0,Success
36386,2025-20-205502-2-01,0,0,Success
45304,2025-20-007015-1-03,0,0,Success
43818,2025-20-205201-2-02,0,0,Success
20994,2025-20-511644-1-02,0,0,Success
23591,2025-20-511644-1-03,0,0,Success
43818,2025-20-205315-2-01,0,0,Success
36386,2025-20-205503-3-01,0,0,Success
45740,2025-20-210007-1-01,0,0,Success
21925,2025-20-904510-1-01,0,0,Success
20563,2025-20-208415-2-01,0,0,Success
42371,2025-20-903052-3-05,0,0,Success
22257,2025-20-903052-3-06,0,0,Success
22257,2025-20-903052-3-07,0,0,Success
22257,2025-20-903052-3-09,0,0,Success
22257,2025-20-903052-3-10,0,0,Success
21743,2025-20-903084-2-03,0,0,Success
21743,2025-20-903084-2-04,0,0,Success
21743,2025-20-903084-2-05,0,0,Success
45379,2025-20-903084-2-16,0,0,Success
45379,2025-20-903084-2-17,0,0,Success
22257,2025-20-903129-2-02,0,0,Success
22257,2025-20-903129-2-03,0,0,Success
22257,2025-20-903129-2-04,0,0,Success
43409,2025-20-601102-3-01,0,0,Success
